task_id,taxonomy,profile,strategy,service_id,display_name,utility,best_utility,regret,cost_per_unit,latency_seconds,quality_score,uptime
9,ai.video.generation,speed_first,highest_quality_first,google/veo-3.1@3.1,Veo 3.1,0.4643,0.5357,0.0714,0.2,45.0,0.847,0.5
9,ai.video.generation,speed_first,most_expensive_first,google/veo-3.1@3.1,Veo 3.1,0.4643,0.5357,0.0714,0.2,45.0,0.847,0.5
9,ai.video.generation,speed_first,random,kuaishou/kling-3.0@3.0,Kling 3.0,0.5357,0.5357,0.0,0.029,60.0,0.835,0.5
10,ai.llm.embedding,cost_first,asm_topsis,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.9671,0.9671,0.0,1.3e-07,0.1,0.6459999999999999,0.999
10,ai.llm.embedding,cost_first,weighted_average,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.9671,0.9671,0.0,1.3e-07,0.1,0.6459999999999999,0.999
10,ai.llm.embedding,cost_first,cheapest_first,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.9671,0.9671,0.0,1.3e-07,0.1,0.6459999999999999,0.999
10,ai.llm.embedding,cost_first,fastest_first,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.9671,0.9671,0.0,1.3e-07,0.1,0.6459999999999999,0.999
10,ai.llm.embedding,cost_first,highest_quality_first,voyageai/voyage-3-large@3.0,Voyage 3 Large,0.0329,0.9671,0.9342,1.8e-07,0.15,0.662,0.998
10,ai.llm.embedding,cost_first,most_expensive_first,voyageai/voyage-3-large@3.0,Voyage 3 Large,0.0329,0.9671,0.9342,1.8e-07,0.15,0.662,0.998
10,ai.llm.embedding,cost_first,random,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.9671,0.9671,0.0,1.3e-07,0.1,0.6459999999999999,0.999
11,tool.communication.email,balanced,asm_topsis,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
11,tool.communication.email,balanced,weighted_average,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
11,tool.communication.email,balanced,cheapest_first,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
11,tool.communication.email,balanced,fastest_first,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
11,tool.communication.email,balanced,highest_quality_first,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
11,tool.communication.email,balanced,most_expensive_first,twilio/sendgrid@v3,SendGrid,0.0,1.0,1.0,0.00035,0.4,0.04,0.999
11,tool.communication.email,balanced,random,twilio/sendgrid@v3,SendGrid,0.0,1.0,1.0,0.00035,0.4,0.04,0.999
12,tool.automation.browser,speed_first,asm_topsis,steel/browser@v1,Steel Browser,0.9984,0.9984,0.0,0.005,1.5,1,0.995
12,tool.automation.browser,speed_first,weighted_average,steel/browser@v1,Steel Browser,0.9984,0.9984,0.0,0.005,1.5,1,0.995
12,tool.automation.browser,speed_first,cheapest_first,steel/browser@v1,Steel Browser,0.9984,0.9984,0.0,0.005,1.5,1,0.995
12,tool.automation.browser,speed_first,fastest_first,steel/browser@v1,Steel Browser,0.9984,0.9984,0.0,0.005,1.5,1,0.995
12,tool.automation.browser,speed_first,highest_quality_first,steel/browser@v1,Steel Browser,0.9984,0.9984,0.0,0.005,1.5,1,0.995
12,tool.automation.browser,speed_first,most_expensive_first,browserbase/api@v1,Browserbase,0.0016,0.9984,0.9968,0.01,2.0,0.96,0.998
12,tool.automation.browser,speed_first,random,steel/browser@v1,Steel Browser,0.9984,0.9984,0.0,0.005,1.5,1,0.995
13,tool.data.scraping,balanced,asm_topsis,jina/reader@v1,Jina Reader,0.9995,0.9995,0.0,0,2.0,0.5,0.996
13,tool.data.scraping,balanced,weighted_average,jina/reader@v1,Jina Reader,0.9995,0.9995,0.0,0,2.0,0.5,0.996
13,tool.data.scraping,balanced,cheapest_first,jina/reader@v1,Jina Reader,0.9995,0.9995,0.0,0,2.0,0.5,0.996
13,tool.data.scraping,balanced,fastest_first,jina/reader@v1,Jina Reader,0.9995,0.9995,0.0,0,2.0,0.5,0.996
13,tool.data.scraping,balanced,highest_quality_first,firecrawl/scrape@v1,Firecrawl,0.0005,0.9995,0.999,0.001,3.0,0.5,0.997
13,tool.data.scraping,balanced,most_expensive_first,firecrawl/scrape@v1,Firecrawl,0.0005,0.9995,0.999,0.001,3.0,0.5,0.997
13,tool.data.scraping,balanced,random,firecrawl/scrape@v1,Firecrawl,0.0005,0.9995,0.999,0.001,3.0,0.5,0.997
14,ai.llm.embedding,quality_first,asm_topsis,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.8629,0.8629,0.0,1.3e-07,0.1,0.6459999999999999,0.999
14,ai.llm.embedding,quality_first,weighted_average,voyageai/voyage-3-large@3.0,Voyage 3 Large,0.1371,0.8629,0.7258,1.8e-07,0.15,0.662,0.998
14,ai.llm.embedding,quality_first,cheapest_first,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.8629,0.8629,0.0,1.3e-07,0.1,0.6459999999999999,0.999
14,ai.llm.embedding,quality_first,fastest_first,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.8629,0.8629,0.0,1.3e-07,0.1,0.6459999999999999,0.999
14,ai.llm.embedding,quality_first,highest_quality_first,voyageai/voyage-3-large@3.0,Voyage 3 Large,0.1371,0.8629,0.7258,1.8e-07,0.15,0.662,0.998
14,ai.llm.embedding,quality_first,most_expensive_first,voyageai/voyage-3-large@3.0,Voyage 3 Large,0.1371,0.8629,0.7258,1.8e-07,0.15,0.662,0.998
14,ai.llm.embedding,quality_first,random,openai/text-embedding-3-large@3.0,text-embedding-3-large,0.8629,0.8629,0.0,1.3e-07,0.1,0.6459999999999999,0.999
15,tool.communication.chat,quality_first,asm_topsis,discord/api@v10,Discord,0.9966,0.9966,0.0,0,0.08,0.5,0.998
15,tool.communication.chat,quality_first,weighted_average,discord/api@v10,Discord,0.9966,0.9966,0.0,0,0.08,0.5,0.998
15,tool.communication.chat,quality_first,cheapest_first,discord/api@v10,Discord,0.9966,0.9966,0.0,0,0.08,0.5,0.998
15,tool.communication.chat,quality_first,fastest_first,discord/api@v10,Discord,0.9966,0.9966,0.0,0,0.08,0.5,0.998
15,tool.communication.chat,quality_first,highest_quality_first,discord/api@v10,Discord,0.9966,0.9966,0.0,0,0.08,0.5,0.998
15,tool.communication.chat,quality_first,most_expensive_first,discord/api@v10,Discord,0.9966,0.9966,0.0,0,0.08,0.5,0.998
15,tool.communication.chat,quality_first,random,slack/web-api@v2,Slack,0.0034,0.9966,0.9932,0,0.1,0.5,0.999
16,tool.automation.browser,cost_first,asm_topsis,steel/browser@v1,Steel Browser,0.9991,0.9991,0.0,0.005,1.5,1,0.995
16,tool.automation.browser,cost_first,weighted_average,steel/browser@v1,Steel Browser,0.9991,0.9991,0.0,0.005,1.5,1,0.995
16,tool.automation.browser,cost_first,cheapest_first,steel/browser@v1,Steel Browser,0.9991,0.9991,0.0,0.005,1.5,1,0.995
16,tool.automation.browser,cost_first,fastest_first,steel/browser@v1,Steel Browser,0.9991,0.9991,0.0,0.005,1.5,1,0.995
16,tool.automation.browser,cost_first,highest_quality_first,steel/browser@v1,Steel Browser,0.9991,0.9991,0.0,0.005,1.5,1,0.995
16,tool.automation.browser,cost_first,most_expensive_first,browserbase/api@v1,Browserbase,0.0009,0.9991,0.9982,0.01,2.0,0.96,0.998
16,tool.automation.browser,cost_first,random,steel/browser@v1,Steel Browser,0.9991,0.9991,0.0,0.005,1.5,1,0.995
17,infra.database.vector,speed_first,asm_topsis,qdrant/cloud@v1,Qdrant,0.9997,0.9997,0.0,0,0.01,0.5,0.998
17,infra.database.vector,speed_first,weighted_average,qdrant/cloud@v1,Qdrant,0.9997,0.9997,0.0,0,0.01,0.5,0.998
17,infra.database.vector,speed_first,cheapest_first,pinecone/index@v3,Pinecone,0.0003,0.9997,0.9994,0,0.02,0.5,0.999
17,infra.database.vector,speed_first,fastest_first,qdrant/cloud@v1,Qdrant,0.9997,0.9997,0.0,0,0.01,0.5,0.998
17,infra.database.vector,speed_first,highest_quality_first,pinecone/index@v3,Pinecone,0.0003,0.9997,0.9994,0,0.02,0.5,0.999
17,infra.database.vector,speed_first,most_expensive_first,pinecone/index@v3,Pinecone,0.0003,0.9997,0.9994,0,0.02,0.5,0.999
17,infra.database.vector,speed_first,random,pinecone/index@v3,Pinecone,0.0003,0.9997,0.9994,0,0.02,0.5,0.999
18,tool.communication.email,quality_first,asm_topsis,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
18,tool.communication.email,quality_first,weighted_average,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
18,tool.communication.email,quality_first,cheapest_first,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
18,tool.communication.email,quality_first,fastest_first,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
18,tool.communication.email,quality_first,highest_quality_first,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
18,tool.communication.email,quality_first,most_expensive_first,twilio/sendgrid@v3,SendGrid,0.0,1.0,1.0,0.00035,0.4,0.04,0.999
18,tool.communication.email,quality_first,random,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
19,tool.productivity.spreadsheet,cost_first,asm_topsis,google/sheets-api@v4,Google Sheets,1.0,1.0,0.0,0,0.1,0.5,0.9995
19,tool.productivity.spreadsheet,cost_first,weighted_average,google/sheets-api@v4,Google Sheets,1.0,1.0,0.0,0,0.1,0.5,0.9995
19,tool.productivity.spreadsheet,cost_first,cheapest_first,airtable/api@v1,Airtable,0.0,1.0,1.0,0,0.12,0.5,0.999
19,tool.productivity.spreadsheet,cost_first,fastest_first,google/sheets-api@v4,Google Sheets,1.0,1.0,0.0,0,0.1,0.5,0.9995
19,tool.productivity.spreadsheet,cost_first,highest_quality_first,airtable/api@v1,Airtable,0.0,1.0,1.0,0,0.12,0.5,0.999
19,tool.productivity.spreadsheet,cost_first,most_expensive_first,airtable/api@v1,Airtable,0.0,1.0,1.0,0,0.12,0.5,0.999
19,tool.productivity.spreadsheet,cost_first,random,airtable/api@v1,Airtable,0.0,1.0,1.0,0,0.12,0.5,0.999
20,tool.communication.email,cost_first,asm_topsis,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
20,tool.communication.email,cost_first,weighted_average,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
20,tool.communication.email,cost_first,cheapest_first,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
20,tool.communication.email,cost_first,fastest_first,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
20,tool.communication.email,cost_first,highest_quality_first,resend/email-api@v1,Resend,1.0,1.0,0.0,0.00028,0.3,0.985,0.999
20,tool.communication.email,cost_first,most_expensive_first,twilio/sendgrid@v3,SendGrid,0.0,1.0,1.0,0.00035,0.4,0.04,0.999
20,tool.communication.email,cost_first,random,twilio/sendgrid@v3,SendGrid,0.0,1.0,1.0,0.00035,0.4,0.04,0.999
21,ai.video.generation,balanced,asm_topsis,kuaishou/kling-3.0@3.0,Kling 3.0,0.8635,0.8635,0.0,0.029,60.0,0.835,0.5
21,ai.video.generation,balanced,weighted_average,google/veo-3.1@3.1,Veo 3.1,0.1365,0.8635,0.727,0.2,45.0,0.847,0.5
21,ai.video.generation,balanced,cheapest_first,kuaishou/kling-3.0@3.0,Kling 3.0,0.8635,0.8635,0.0,0.029,60.0,0.835,0.5
21,ai.video.generation,balanced,fastest_first,google/veo-3.1@3.1,Veo 3.1,0.1365,0.8635,0.727,0.2,45.0,0.847,0.5
21,ai.video.generation,balanced,highest_quality_first,google/veo-3.1@3.1,Veo 3.1,0.1365,0.8635,0.727,0.2,45.0,0.847,0.5
21,ai.video.generation,balanced,most_expensive_first,google/veo-3.1@3.1,Veo 3.1,0.1365,0.8635,0.727,0.2,45.0,0.847,0.5
21,ai.video.generation,balanced,random,kuaishou/kling-3.0@3.0,Kling 3.0,0.8635,0.8635,0.0,0.029,60.0,0.835,0.5
22,ai.vision.image_generation,balanced,asm_topsis,google/imagen-3@3.0,Imagen 3,0.6017,0.6017,0.0,0.04,10.0,0.72,0.999
22,ai.vision.image_generation,balanced,weighted_average,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.5109,0.6017,0.0908,0.04,8.0,0.904,0.5
22,ai.vision.image_generation,balanced,cheapest_first,black-forest-labs/flux-1.1-pro@1.1,FLUX 1.1 Pro,0.5109,0.6017,0.0908,0.04,8.0,0.904,0.5
